Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Panagiotis Simelidis,gr GRE,MF,Levadiakos,32,1992,21,8,890,9.9,3,1,4,3,0,0,4,0,0.3,0.1,0.4,0.3,0.4,Matches
377,David Simón,es ESP,DF,AE Kifisia,36,1988,25,21,"1,963",21.8,1,2,3,1,0,0,7,0,0.05,0.09,0.14,0.05,0.14,Matches
378,Alberto Simoni,al ALB,FW,Asteras Tripoli,28,1996,4,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Emmanouil Siopis,gr GRE,MF,Panathinaikos,31,1994,22,11,"1,060",11.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
380,Nikola Šipčić,me MNE,DF,Asteras Tripoli,30,1995,21,21,"1,885",20.9,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
381,Moussa Sissoko,fr FRA,MF,Panathinaikos,35,1989,4,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Pione Sisto,dk DEN,"FW,MF",Larissa,30,1995,10,4,408,4.5,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22,Matches
383,Pione Sisto,dk DEN,MF,Aris,30,1995,6,4,324,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
384,Lampros Smyrlis,gr GRE,"MF,FW",Panetolikos,21,2004,21,6,772,8.6,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches
385,Marios Sofianos,gr GRE,"MF,FW",Panserraikos,21,2003,12,3,300,3.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
